[0.42431640625],[0.203125],[0.15283203125],0.2600911458333333,[3.276056732982397]
[0.49658203125],[0.236328125],[0.17236328125],0.3017578125,[1.49683553352952]
[0.4921875],[0.2373046875],[0.1982421875],0.3092447916666667,[1.4539498798549175]
[0.4970703125],[0.24267578125],[0.19091796875],0.3102213541666667,[1.4051293805241585]
[0.52392578125],[0.236328125],[0.193359375],0.31787109375,[1.369022786617279]
[0.5322265625],[0.240234375],[0.20263671875],0.3250325520833333,[1.3254089318215847]
[0.51953125],[0.24853515625],[0.18310546875],0.3170572916666667,[1.3950753826647997]
[0.53955078125],[0.25048828125],[0.18603515625],0.3253580729166667,[1.3324534483253956]
[0.51318359375],[0.2294921875],[0.1787109375],0.30712890625,[1.3593777008354664]
[0.53466796875],[0.25146484375],[0.19677734375],0.32763671875,[1.342893023043871]
[0.54443359375],[0.23388671875],[0.2099609375],0.3294270833333333,[1.2909210734069347]
[0.4970703125],[0.2587890625],[0.1806640625],0.3121744791666667,[1.3451917506754398]
[0.52685546875],[0.2216796875],[0.1796875],0.3094075520833333,[1.3427057266235352]
[0.546875],[0.251953125],[0.19482421875],0.3312174479166667,[1.294160172343254]
[0.5517578125],[0.24169921875],[0.18701171875],0.3268229166666667,[1.3162869028747082]
[0.53759765625],[0.240234375],[0.1904296875],0.32275390625,[1.327276300638914]
[0.53955078125],[0.22900390625],[0.19873046875],0.3224283854166667,[1.2851972505450249]
[0.54931640625],[0.236328125],[0.18994140625],0.3251953125,[1.3228596039116383]
[0.52685546875],[0.23779296875],[0.2080078125],0.32421875,[1.3424204960465431]
[0.55419921875],[0.2431640625],[0.216796875],0.3380533854166667,[1.301594614982605]
[0.55126953125],[0.23681640625],[0.19921875],0.3291015625,[1.3091290928423405]
[0.56103515625],[0.240234375],[0.20751953125],0.3362630208333333,[1.2762110438197851]
[0.53369140625],[0.24853515625],[0.19580078125],0.3260091145833333,[1.3555732108652592]
[0.54296875],[0.2509765625],[0.181640625],0.3251953125,[1.2752589955925941]
[0.53466796875],[0.2294921875],[0.1962890625],0.3201497395833333,[1.3126765340566635]
[0.5517578125],[0.25146484375],[0.20068359375],0.3346354166666667,[1.2953637279570103]
[0.5615234375],[0.23388671875],[0.20263671875],0.3326822916666667,[1.2412329893559217]
[0.54833984375],[0.25830078125],[0.1845703125],0.3304036458333333,[1.2954032011330128]
[0.5419921875],[0.2216796875],[0.19189453125],0.3185221354166667,[1.323654968291521]
[0.5498046875],[0.251953125],[0.19140625],0.3310546875,[1.2815301269292831]
[0.5654296875],[0.24169921875],[0.17578125],0.32763671875,[1.2666759304702282]
[0.54638671875],[0.240234375],[0.20654296875],0.3310546875,[1.3047968372702599]
[0.5703125],[0.22900390625],[0.181640625],0.3269856770833333,[1.2605629153549671]
[0.5634765625],[0.23681640625],[0.20751953125],0.3359375,[1.2672574631869793]
[0.54931640625],[0.23779296875],[0.2060546875],0.3310546875,[1.3166616633534431]
[0.556640625],[0.24365234375],[0.20556640625],0.3352864583333333,[1.2661052122712135]
[0.55517578125],[0.23681640625],[0.20654296875],0.3328450520833333,[1.2768636271357536]
[0.572265625],[0.240234375],[0.20654296875],0.3396809895833333,[1.253936368972063]
[0.5419921875],[0.2490234375],[0.19482421875],0.32861328125,[1.3431040942668915]
[0.5693359375],[0.2509765625],[0.17431640625],0.33154296875,[1.2524835485965014]
[0.56396484375],[0.2294921875],[0.19140625],0.3282877604166667,[1.2901228852570057]
[0.5576171875],[0.25146484375],[0.197265625],0.33544921875,[1.288287565112114]
[0.5673828125],[0.23388671875],[0.2001953125],0.3338216145833333,[1.2294127698987722]
